Ano,Área de Avaliação,Grau Acadêmico,Organização Acadêmica,Categoria Administrativa,Modalidade de Ensino,Município do Curso**,Sigla da UF** ,Nº de Concluintes Inscritos,Nº  de Concluintes Participantes,Conceito Enade (Faixa)
2023,ENGENHARIA DE ALIMENTOS,Bacharelado,Universidade,Pública Federal,Educação Presencial,Ariquemes,RO,4,4,3
2023,AGRONOMIA,Bacharelado,"Instituto Federal de Educação, Ciência e Tecnologia",Pública Federal,Educação Presencial,Ariquemes,RO,34,34,4
2023,ENGENHARIA CIVIL,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Ariquemes,RO,24,21,2
2023,ENFERMAGEM,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Ariquemes,RO,35,34,2
2023,FARMÁCIA,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Ariquemes,RO,23,23,2
2023,FISIOTERAPIA,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Ariquemes,RO,29,27,2
2023,AGRONOMIA,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Ariquemes,RO,30,26,2
2023,ARQUITETURA E URBANISMO,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Ariquemes,RO,15,14,2
2023,FARMÁCIA,Bacharelado,Faculdade,Privada sem fins lucrativos,Educação Presencial,Ariquemes,RO,26,23,2
2023,NUTRIÇÃO,Bacharelado,Faculdade,Privada sem fins lucrativos,Educação Presencial,Ariquemes,RO,17,17,2
2023,ENFERMAGEM,Bacharelado,Faculdade,Privada sem fins lucrativos,Educação Presencial,Ariquemes,RO,26,25,2
2023,FARMÁCIA,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Cacoal,RO,13,13,3
2023,TECNOLOGIA EM ESTÉTICA E COSMÉTICA,Tecnológico,Faculdade,Privada com fins lucrativos,Educação Presencial,Cacoal,RO,6,6,3
2023,FISIOTERAPIA,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Cacoal,RO,8,7,2
2023,ENFERMAGEM,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Cacoal,RO,20,18,3
2023,BIOMEDICINA,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Cacoal,RO,15,13,2
2023,FARMÁCIA,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Cacoal,RO,16,7,2
2023,ENGENHARIA CIVIL,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Cacoal,RO,5,4,3
2023,ODONTOLOGIA,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Cacoal,RO,15,12,2
2023,AGRONOMIA,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Cacoal,RO,20,14,2
2023,NUTRIÇÃO,Bacharelado,Centro Universitário,Privada sem fins lucrativos,Educação Presencial,Petrópolis,RJ,34,25,4
2023,ZOOTECNIA,Bacharelado,"Instituto Federal de Educação, Ciência e Tecnologia",Pública Federal,Educação Presencial,Cacoal,RO,31,24,2
2023,TECNOLOGIA EM AGRONEGÓCIOS,Tecnológico,"Instituto Federal de Educação, Ciência e Tecnologia",Pública Federal,Educação Presencial,Cacoal,RO,18,9,2
2023,NUTRIÇÃO,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Cacoal,RO,35,33,2
2023,ENGENHARIA CIVIL,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Cacoal,RO,14,10,2
